"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"0500000US10001","Kent County, Delaware","0.4022","0.0189",
"0500000US10003","New Castle County, Delaware","0.4656","0.0233",
"0500000US10005","Sussex County, Delaware","0.4516","0.0196",
"0500000US11001","District of Columbia, District of Columbia","0.5305","0.0129",
"0500000US12001","Alachua County, Florida","0.5211","0.0257",
"0500000US12005","Bay County, Florida","0.4080","0.0190",
"0500000US12009","Brevard County, Florida","0.4745","0.0330",
"0500000US12011","Broward County, Florida","0.4885","0.0109",
"0500000US12015","Charlotte County, Florida","0.4408","0.0187",
"0500000US12017","Citrus County, Florida","0.4698","0.0357",
"0500000US12019","Clay County, Florida","0.3791","0.0200",
"0500000US12021","Collier County, Florida","0.5290","0.0204",
"0500000US12023","Columbia County, Florida","0.4576","0.0736",
"0500000US12031","Duval County, Florida","0.4753","0.0141",
"0500000US12033","Escambia County, Florida","0.4636","0.0188",
"0500000US12035","Flagler County, Florida","0.4222","0.0209",
"0500000US12053","Hernando County, Florida","0.4422","0.0355",
"0500000US12055","Highlands County, Florida","0.4222","0.0369",
"0500000US12057","Hillsborough County, Florida","0.4832","0.0137",
"0500000US12061","Indian River County, Florida","0.4650","0.0315",
"0500000US12069","Lake County, Florida","0.4221","0.0193",
"0500000US12071","Lee County, Florida","0.4923","0.0173",
"0500000US12073","Leon County, Florida","0.4756","0.0170",
"0500000US12081","Manatee County, Florida","0.4563","0.0185",
"0500000US12083","Marion County, Florida","0.4412","0.0207",
"0500000US12085","Martin County, Florida","0.5390","0.0302",
"0500000US12086","Miami-Dade County, Florida","0.5156","0.0083",
"0500000US12087","Monroe County, Florida","0.5394","0.0442",
"0500000US12089","Nassau County, Florida","0.4540","0.0564",
"0500000US12091","Okaloosa County, Florida","0.4363","0.0196",
"0500000US12095","Orange County, Florida","0.4873","0.0146",
"0500000US12097","Osceola County, Florida","0.4325","0.0236",
"0500000US12099","Palm Beach County, Florida","0.5209","0.0092",
"0500000US12101","Pasco County, Florida","0.4715","0.0187",
"0500000US12103","Pinellas County, Florida","0.4951","0.0119",
"0500000US12105","Polk County, Florida","0.4532","0.0174",
"0500000US12107","Putnam County, Florida","0.4758","0.0319",
"0500000US12109","St. Johns County, Florida","0.4496","0.0237",
"0500000US12111","St. Lucie County, Florida","0.4244","0.0339",
"0500000US12113","Santa Rosa County, Florida","0.4040","0.0290",
"0500000US12115","Sarasota County, Florida","0.4942","0.0202",
"0500000US12117","Seminole County, Florida","0.4557","0.0159",
"0500000US12119","Sumter County, Florida","0.4431","0.0504",
"0500000US12127","Volusia County, Florida","0.4463","0.0168",
"0500000US12131","Walton County, Florida","0.5971","0.0821",
"0500000US13013","Barrow County, Georgia","0.3992","0.0337",
"0500000US13015","Bartow County, Georgia","0.4129","0.0360",
"0500000US13021","Bibb County, Georgia","0.5103","0.0316",
"0500000US13031","Bulloch County, Georgia","0.4362","0.0380",
"0500000US13045","Carroll County, Georgia","0.4591","0.0422",
"0500000US13047","Catoosa County, Georgia","0.4314","0.0425",
"0500000US13051","Chatham County, Georgia","0.4772","0.0249",
"0500000US13057","Cherokee County, Georgia","0.4137","0.0284",
"0500000US13059","Clarke County, Georgia","0.4621","0.0289",
"0500000US13063","Clayton County, Georgia","0.4400","0.0300",
"0500000US13067","Cobb County, Georgia","0.4492","0.0163",
"0500000US13073","Columbia County, Georgia","0.4185","0.0296",
"0500000US13077","Coweta County, Georgia","0.3944","0.0172",
"0500000US13089","DeKalb County, Georgia","0.4927","0.0128",
"0500000US13095","Dougherty County, Georgia","0.5152","0.0540",
"0500000US13097","Douglas County, Georgia","0.4577","0.0540",
