GeoFIPS,GeoName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
1107,"Pickens, AL",566604,595321,612685,615130,642234,625221,654359,657473,697022,740194,819121,780090,802100,
1109,"Pike, AL",1062406,1043328,1032936,1098730,1151406,1163790,1194530,1226773,1248606,1347005,1497338,1569674,1615672,
1111,"Randolph, AL",602523,626208,643172,681281,718738,698603,724358,747901,766278,805300,933882,959630,977988,
1113,"Russell, AL",1624126,1678513,1695412,1718877,1784083,1804445,1851384,1860026,1942515,2121944,2347145,2285229,2421840,
1115,"St. Clair, AL",2601329,2775850,2789762,2930976,3072212,3154103,3298383,3513059,3729435,3953193,4400657,4529538,4879070,
1117,"Shelby, AL",8845567,9325286,9566806,10020179,10559963,10809408,11277618,11877859,12649232,13416160,14868681,15527827,16704154,
1119,"Sumter, AL",361327,376066,399232,386916,388204,387360,385806,384072,401203,436846,469400,458729,478315,
1121,"Talladega, AL",2345414,2414709,2425869,2527023,2574743,2621069,2652956,2741781,2885164,3090305,3337497,3352179,3554846,
1123,"Tallapoosa, AL",1362307,1395955,1410501,1420970,1512932,1548658,1575422,1633447,1730138,1827860,2006456,2010798,2140299,
1125,"Tuscaloosa, AL",6568005,6796347,6865659,7142747,7357977,7477960,7806229,8092333,8474780,9161406,9743892,10009204,10678392,
1127,"Walker, AL",2286001,2287930,2263247,2338599,2412949,2380326,2467279,2545706,2687293,2787191,3043654,3174147,3375853,
1129,"Washington, AL",525184,531301,537342,552726,564585,567938,576149,589425,603264,625704,675599,687112,714083,
1131,"Wilcox, AL",303818,303305,335358,310437,320913,326940,332695,341705,352417,374940,413492,392442,414979,
1133,"Winston, AL",678360,688587,692032,725029,755298,753935,786435,801907,845882,926259,1014823,1033661,1070471,
2010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2013,"Aleutians East Borough, AK*",120582,120264,129089,133578,165850,191326,200602,192045,202667,195109,202702,218775,226775,
2016,"Aleutians West Census Area, AK*",255240,281342,283289,299213,297307,306233,294135,305957,315261,326614,329306,351961,370521,
2020,"Anchorage Municipality, AK",17438447,17760535,17395186,18194339,18812630,18446135,18629102,19242734,19383968,19760423,20857669,21961067,23079288,
2050,"Bethel Census Area, AK*",637284,664529,657304,705761,719284,735652,760016,815785,826076,851504,873194,899885,889148,
2060,"Bristol Bay Borough, AK",80989,89703,103026,107684,97323,104092,105817,121728,117728,118364,138208,138655,140292,
2063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),435013,479716,483528,490305,
2066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),128937,154511,149579,161224,
